Geneid,group1_1,group1_2,group1_3,group2_1,group2_2,group2_3,group3_1,group3_2,group3_3
ENSMUSG00000061288,6.01304489420219,6.11168838164285,6.02583408225689,6.29994237836033,6.41005776713596,6.33166041322163,6.27533626290367,6.28630050489973,6.51057333666617
ENSMUSG00000040441,5.46441853134338,5.51133772810043,5.4736432843233,5.69894161831032,5.76918224145436,5.74477402505341,5.6331671261723,5.72122250951096,5.70862277598419
ENSMUSG00000028199,5.75628380788032,5.86939923294543,5.86141026398264,5.97108621767073,5.94744837283134,6.04530580928463,5.96909124682999,5.99789625524634,6.0604105976161
ENSMUSG00000089983,7.14664336623693,7.16944534519913,7.14689911336932,7.16284935807728,7.15270532235658,7.14949957511856,7.28169346467648,7.19879139606677,7.28013054985098
ENSMUSG00000035790,2.64946684566387,2.06982524908507,2.85143139049852,1.32490888766071,1.38731665946226,1.21944686241,2.52491338029969,1.89202333145128,2.1113885472846
ENSMUSG00000049299,5.52480447568118,4.95148431684355,4.78520292491017,5.52999525057845,5.44016529759369,5.65966972157998,5.45259431481619,5.51731219236972,5.16215550411193
ENSMUSG00000055866,-1.52434159317489,-1.6436035378438,-1.78598381528336,-0.132190564037616,0.096869289397422,0.102279401429797,0.116671024199805,-1.99037073484158,-3.54011180084917
ENSMUSG00000080932,2.08903535673864,1.8579984817382,2.11464510139666,1.93826398829686,1.96316152911907,2.4679048318768,2.63749539542175,2.5919994724042,2.35600046197668
ENSMUSG00000032502,6.08939198877551,5.93766713172375,5.92699712160789,6.11616653086004,5.98540618138021,6.13753555341191,5.69765603810406,5.7850136225366,5.62280356525392
ENSMUSG00000057147,3.40759507611768,3.37901669393819,3.5236969746374,3.74652540153483,3.67987592239035,3.79241107008471,4.50917340449356,4.31243692682027,4.46788850456238
ENSMUSG00000091021,3.01710441015483,2.67591571328734,2.64268415443153,2.73398201413331,2.90412595103947,2.80440019554779,2.50808832847622,3.00805679696279,2.90972619871106
ENSMUSG00000032615,6.38748276787104,6.10957607989604,6.16428252294486,5.58288818777365,5.67476679159318,5.59015209422136,5.90466383857351,5.94381277671501,5.96742507842203
ENSMUSG00000029659,-1.39309044787297,-1.36771399789619,-2.3303851897267,-1.26979682226539,-2.01822586779079,-1.27618449544754,-0.95171350728392,-0.767130875873092,-0.806012899213569
ENSMUSG00000015202,11.0682470854851,11.2641498345345,11.2585785533029,12.2288069379087,11.8426552101684,12.0232379189244,13.0565150485455,13.1378674643406,12.7255108266721
ENSMUSG00000023467,1.43213537883881,1.96156364437303,1.90826318148211,2.55004636440017,2.39182281187046,2.64594091275576,2.89213057643515,2.70779055900746,2.46885932176704
ENSMUSG00000082283,6.1538730651889,5.8220238947291,6.06236762252642,6.35068371148842,6.33442577888836,6.42279016564091,5.69858322264559,5.56415731625951,5.49980916193946
ENSMUSG00000042812,7.02060670198434,7.25634164150122,7.25616423420318,6.77980376091877,6.91063550422786,6.86513013923834,6.84875678549344,6.68988451240106,6.87039724235311
ENSMUSG00000029647,5.24769476304998,5.44475629132578,5.3704068827894,5.43581475312506,5.67383722156089,5.53572335800619,5.5615889911807,5.43008027995258,5.53695813538253
ENSMUSG00000048578,1.53461900815975,0.980061863791952,1.0371405421234,1.63340461095394,1.50905813927844,1.78725016796777,1.84263155521664,1.72616033680325,1.27011095020464
ENSMUSG00000031481,-2.45729652483279,-1.49907392676231,-1.17824059737134,-0.704138560164232,-1.40172725248077,-1.27618449544754,-0.072834033565653,-0.942299570772651,-1.3277448852524
ENSMUSG00000081251,0.492789171525325,0.086773037677011,0.370272213297677,1.00535965478393,0.449516047279312,0.649757776866176,1.29408389114338,1.13747466407365,1.22797093661356
ENSMUSG00000031616,4.64661223736939,4.71261610187774,4.80415393764697,4.60715080441856,4.66404282073423,4.51346860175704,4.34596947175625,4.52521800093205,4.43121617721113
ENSMUSG00000021303,7.71538966924805,7.88688017328048,7.89979218499335,7.76678459507247,7.69265821073169,7.69861152832417,7.77716192022926,7.74254239033503,7.52872897044278
