"adj.P.Val_LWT_MCD.LWT_CTRL";"adj.P.Val_LKO_MCD.LKO_CTRL";"adj.P.Val_LKO_MCD.LWT_MCD";"adj.P.Val_LKO_CTRL.LWT_CTRL";"adj.P.Val_.LWT_MCD.LWT_CTRL...LKO_MCD.LKO_CTRL."
"1169";"1281";"";"";""
"1171";"1282";"";"";""
"1172";"1283";"";"";""
"1180";"1289";"";"";""
"1181";"1290";"";"";""
"1183";"1291";"";"";""
"1184";"1292";"";"";""
"1185";"1296";"";"";""
"1186";"1298";"";"";""
"1187";"1299";"";"";""
"1190";"1300";"";"";""
"1191";"1302";"";"";""
"1192";"1306";"";"";""
"1195";"1309";"";"";""
"1196";"1311";"";"";""
"1197";"1312";"";"";""
"1198";"1313";"";"";""
"1199";"1314";"";"";""
"1200";"1317";"";"";""
"1201";"1318";"";"";""
"1202";"1319";"";"";""
"1204";"1320";"";"";""
"1205";"1321";"";"";""
"1206";"1322";"";"";""
"1208";"1323";"";"";""
"1210";"1324";"";"";""
"1215";"1325";"";"";""
"1216";"1326";"";"";""
"1217";"1328";"";"";""
"1218";"1329";"";"";""
"1222";"1330";"";"";""
"1228";"1333";"";"";""
"1231";"1334";"";"";""
"1232";"1337";"";"";""
"1236";"1338";"";"";""
"1237";"1340";"";"";""
"1241";"1341";"";"";""
"1242";"1343";"";"";""
"1243";"1344";"";"";""
"1244";"1348";"";"";""
"1246";"1349";"";"";""
"1249";"1350";"";"";""
"1252";"1351";"";"";""
"1253";"1352";"";"";""
"1254";"1357";"";"";""
"1256";"1363";"";"";""
"1257";"1367";"";"";""
"1258";"1368";"";"";""
"1260";"1369";"";"";""
"1261";"1371";"";"";""
"1262";"1374";"";"";""
"1265";"1376";"";"";""
"1270";"1378";"";"";""
"1271";"1380";"";"";""
"1272";"1382";"";"";""
"1273";"1384";"";"";""
"1275";"1386";"";"";""
"1278";"1387";"";"";""
"1279";"1388";"";"";""
"1281";"1390";"";"";""
"1282";"1391";"";"";""
"1283";"1394";"";"";""
"1284";"1395";"";"";""
"1285";"1396";"";"";""
"1289";"1397";"";"";""
"1290";"1399";"";"";""
"1291";"1403";"";"";""
"1293";"1410";"";"";""
"1296";"1411";"";"";""
"1298";"1412";"";"";""
"1299";"1413";"";"";""
"1300";"1416";"";"";""
"1306";"1417";"";"";""
"1309";"1418";"";"";""
"1310";"1419";"";"";""
"1311";"1420";"";"";""
"1312";"1422";"";"";""
"1317";"1424";"";"";""
"1318";"1425";"";"";""
"1319";"1427";"";"";""
"1320";"1429";"";"";""
"1321";"1432";"";"";""
"1322";"1433";"";"";""
"1323";"1436";"";"";""
"1324";"1438";"";"";""
"1325";"1441";"";"";""
"1326";"1442";"";"";""
"1327";"1448";"";"";""
"1328";"1451";"";"";""
"1329";"1453";"";"";""
"1332";"1457";"";"";""
"1333";"1458";"";"";""
"1334";"1460";"";"";""
"1335";"1463";"";"";""
"1337";"1466";"";"";""
"1338";"1468";"";"";""
"1340";"1470";"";"";""
"1341";"1474";"";"";""
"1344";"1475";"";"";""
"1346";"1476";"";"";""
"1348";"1477";"";"";""
"1349";"1480";"";"";""
"1350";"1481";"";"";""
"1351";"1486";"";"";""
"1352";"1488";"";"";""
"1355";"1491";"";"";""
"1356";"1494";"";"";""
"1357";"1495";"";"";""
"1359";"1499";"";"";""
"1362";"1501";"";"";""
"1363";"1505";"";"";""
"1365";"1508";"";"";""
"1366";"1509";"";"";""
"1367";"1510";"";"";""
"1368";"1512";"";"";""
"1369";"1517";"";"";""
"1371";"1518";"";"";""
"1374";"1519";"";"";""
"1378";"1520";"";"";""
"1380";"1521";"";"";""
"1382";"1523";"";"";""
"1383";"1525";"";"";""
"1384";"1526";"";"";""
"1386";"1528";"";"";""
"1387";"1529";"";"";""
"1389";"1530";"";"";""
"1390";"1533";"";"";""
"1391";"1534";"";"";""
"1394";"1535";"";"";""
"1395";"1536";"";"";""
"1396";"1539";"";"";""
"1399";"1541";"";"";""
"1404";"1542";"";"";""
"1405";"1543";"";"";""
"1411";"1544";"";"";""
"1412";"1545";"";"";""
"1413";"1548";"";"";""
"1414";"1550";"";"";""
"1415";"1551";"";"";""
"1416";"1555";"";"";""
"1418";"1556";"";"";""
"1419";"1557";"";"";""
"1420";"1558";"";"";""
"1422";"1559";"";"";""
"1425";"1567";"";"";""
"1427";"1569";"";"";""
"1430";"1570";"";"";""
"1431";"1575";"";"";""
"1432";"1576";"";"";""
"1434";"1580";"";"";""
"1436";"1582";"";"";""
"1438";"1585";"";"";""
"1439";"1587";"";"";""
"1441";"1588";"";"";""
"1442";"1590";"";"";""
"1444";"1592";"";"";""
"1445";"1598";"";"";""
"1446";"1599";"";"";""
"1448";"1603";"";"";""
"1450";"1605";"";"";""
"1451";"1607";"";"";""
"1452";"1609";"";"";""
"1453";"1610";"";"";""
"1457";"1612";"";"";""
"1458";"1613";"";"";""
"1460";"1614";"";"";""
"1461";"1615";"";"";""
"1463";"1617";"";"";""
"1466";"1619";"";"";""
"1468";"1622";"";"";""
"1470";"1629";"";"";""
"1474";"1630";"";"";""
"1476";"1633";"";"";""
"1477";"1636";"";"";""
"1481";"1637";"";"";""
"1485";"1641";"";"";""
"1486";"1643";"";"";""
"1488";"1644";"";"";""
"1489";"1645";"";"";""
"1491";"1646";"";"";""
"1494";"1647";"";"";""
"1495";"1650";"";"";""
"1496";"1651";"";"";""
"1499";"1661";"";"";""
"1501";"1662";"";"";""
"1504";"1664";"";"";""
"1505";"1666";"";"";""
"1508";"1669";"";"";""
"1509";"1672";"";"";""
"1519";"1673";"";"";""
"1521";"1675";"";"";""
"1526";"1676";"";"";""
"1527";"1677";"";"";""
"1528";"1679";"";"";""
"1529";"1683";"";"";""
"1530";"1687";"";"";""
"1532";"1688";"";"";""
"1533";"1690";"";"";""
"1534";"1691";"";"";""
"1535";"1695";"";"";""
"1536";"1697";"";"";""
"1539";"1698";"";"";""
"1540";"1699";"";"";""
"1541";"1700";"";"";""
"1542";"1705";"";"";""
"1543";"1706";"";"";""
"1544";"1707";"";"";""
"1548";"1709";"";"";""
"1550";"1710";"";"";""
"1551";"1711";"";"";""
"1552";"1713";"";"";""
"1554";"1715";"";"";""
"1555";"1716";"";"";""
"1556";"1717";"";"";""
"1557";"1721";"";"";""
"1558";"1722";"";"";""
"1559";"1723";"";"";""
"1561";"1724";"";"";""
"1564";"1726";"";"";""
"1567";"1727";"";"";""
"1569";"1729";"";"";""
"1570";"1730";"";"";""
"1573";"1731";"";"";""
"1575";"1732";"";"";""
"1576";"1733";"";"";""
"1578";"1735";"";"";""
"1579";"1741";"";"";""
"1580";"1746";"";"";""
"1581";"1747";"";"";""
"1582";"1748";"";"";""
"1583";"1749";"";"";""
"1584";"1750";"";"";""
"1585";"1752";"";"";""
"1587";"1753";"";"";""
"1588";"1755";"";"";""
"1590";"1757";"";"";""
"1592";"1758";"";"";""
"1593";"1759";"";"";""
"1598";"1762";"";"";""
"1599";"1763";"";"";""
"1600";"1764";"";"";""
"1602";"1765";"";"";""
"1603";"1766";"";"";""
"1605";"1767";"";"";""
"1606";"1770";"";"";""
"1607";"1771";"";"";""
"1609";"1772";"";"";""
"1610";"1775";"";"";""
"1612";"1777";"";"";""
"1613";"1782";"";"";""
